                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8769,                 1.4637,                0.88489,                  0.999,                0.99738,                  0.995,                0.81695,                0.65632,                0.66996,                0.83348,              0.0033267,              0.0033267,              0.0033267
                      2,                0.82857,                0.69409,                0.86601,                0.99439,                  0.984,                0.99479,                0.79698,                0.76823,                0.48697,                0.85206,              0.0065941,              0.0065941,              0.0065941
                      3,                0.83001,                0.56075,                0.86543,                 0.9965,                0.99787,                0.99498,                0.83062,                0.65625,                0.42134,                0.83571,              0.0097955,              0.0097955,              0.0097955
                      4,                0.77116,                0.48043,                0.85301,                0.99991,                 0.9965,                  0.995,                0.84034,                0.66321,                0.38868,                0.82746,               0.009703,               0.009703,               0.009703
                      5,                0.71193,                0.42171,                0.84149,                0.99889,                 0.9955,                  0.995,                0.86041,                0.56522,                0.34216,                0.81325,               0.009703,               0.009703,               0.009703
                      6,                0.67452,                0.39598,                 0.8336,                0.99798,                0.98771,                0.99492,                0.82094,                0.63558,                0.37623,                0.82352,               0.009604,               0.009604,               0.009604
                      7,                0.65176,                0.38843,                0.83038,                0.99895,                 0.9975,                  0.995,                0.88649,                 0.5295,                0.30737,                0.80614,               0.009505,               0.009505,               0.009505
                      8,                0.62606,                0.36761,                0.82416,                  0.999,                0.99878,                  0.995,                0.87669,                0.50708,                0.28869,                 0.8014,               0.009406,               0.009406,               0.009406
                      9,                0.60963,                0.36171,                0.82134,                 0.9975,                 0.9995,                  0.995,                0.89362,                0.50185,                0.27989,                0.80138,               0.009307,               0.009307,               0.009307
                     10,                0.60459,                0.35484,                0.82024,                      1,                0.99797,                  0.995,                0.89921,                0.50058,                0.27916,                 0.7978,               0.009208,               0.009208,               0.009208
                     11,                 0.5924,                0.34705,                0.81979,                      1,                0.99935,                  0.995,                0.89323,                0.48802,                 0.2675,                0.79639,               0.009109,               0.009109,               0.009109
                     12,                 0.5866,                0.34056,                0.81849,                0.99943,                 0.9995,                  0.995,                 0.9043,                0.47685,                0.26675,                0.79333,                0.00901,                0.00901,                0.00901
                     13,                 0.5716,                0.33203,                0.81496,                  0.997,                 0.9995,                  0.995,                0.89733,                0.48112,                0.26447,                0.79376,               0.008911,               0.008911,               0.008911
                     14,                0.56316,                 0.3271,                0.81284,                 0.9995,                0.99946,                  0.995,                0.90208,                0.48744,                0.27214,                0.79333,               0.008812,               0.008812,               0.008812
                     15,                0.55581,                0.32055,                0.81066,                0.99968,                 0.9995,                  0.995,                0.90693,                0.46276,                 0.2497,                0.79067,               0.008713,               0.008713,               0.008713
                     16,                0.55688,                0.31848,                0.81435,                0.99943,                 0.9995,                  0.995,                0.89362,                0.47371,                0.24634,                0.79264,               0.008614,               0.008614,               0.008614
                     17,                0.54693,                0.31466,                0.81124,                0.99979,                 0.9995,                  0.995,                0.90963,                0.45297,                0.23791,                0.78804,               0.008515,               0.008515,               0.008515
                     18,                0.54735,                0.31043,                0.81047,                      1,                0.99947,                  0.995,                0.90992,                0.45698,                 0.2333,                 0.7879,               0.008416,               0.008416,               0.008416
                     19,                0.54137,                0.30989,                0.80856,                0.99975,                 0.9995,                  0.995,                0.91311,                0.45555,                0.24438,                0.78868,               0.008317,               0.008317,               0.008317
                     20,                0.53884,                0.30738,                0.80847,                0.99999,                 0.9995,                  0.995,                0.91073,                0.46527,                0.23823,                0.79002,               0.008218,               0.008218,               0.008218
                     21,                0.53231,                0.30223,                0.81065,                      1,                0.99945,                  0.995,                  0.912,                0.44457,                0.22852,                0.78666,               0.008119,               0.008119,               0.008119
                     22,                0.52751,                0.29904,                0.80872,                      1,                0.99994,                  0.995,                0.91066,                0.47308,                0.23916,                0.79061,                0.00802,                0.00802,                0.00802
                     23,                0.52857,                0.29792,                 0.8075,                0.99999,                      1,                  0.995,                0.91743,                 0.4435,                0.22258,                0.78751,               0.007921,               0.007921,               0.007921
                     24,                0.52493,                0.29548,                0.80755,                0.99987,                 0.9995,                  0.995,                0.91343,                0.43683,                0.22348,                0.78606,               0.007822,               0.007822,               0.007822
                     25,                0.52077,                0.29294,                 0.8049,                0.99993,                 0.9995,                  0.995,                0.91484,                0.44253,                0.22685,                0.78559,               0.007723,               0.007723,               0.007723
                     26,                0.51558,                 0.2877,                 0.8034,                      1,                0.99995,                  0.995,                0.91943,                0.43822,                0.22187,                0.78398,               0.007624,               0.007624,               0.007624
                     27,                0.51427,                0.28944,                0.80303,                0.99992,                 0.9995,                  0.995,                0.91705,                0.43347,                0.21926,                0.78436,               0.007525,               0.007525,               0.007525
                     28,                0.51421,                0.28844,                0.80395,                0.99996,                 0.9995,                  0.995,                 0.9198,                0.44065,                0.21633,                0.78505,               0.007426,               0.007426,               0.007426
                     29,                0.51325,                0.28519,                0.80369,                      1,                0.99895,                  0.995,                0.91502,                0.44519,                0.22023,                0.78598,               0.007327,               0.007327,               0.007327
                     30,                0.50704,                0.28159,                0.80467,                 0.9995,                0.99996,                  0.995,                0.91139,                0.44316,                0.21646,                0.78554,               0.007228,               0.007228,               0.007228
                     31,                0.50546,                 0.2803,                0.80384,                 0.9977,                 0.9995,                  0.995,                0.92118,                0.42848,                0.21669,                0.78283,               0.007129,               0.007129,               0.007129
                     32,                0.50555,                0.28073,                0.80392,                0.99994,                  0.999,                  0.995,                0.92018,                0.42911,                0.21199,                0.78353,                0.00703,                0.00703,                0.00703
                     33,                0.50397,                0.27759,                0.80557,                      1,                0.99933,                  0.995,                0.92001,                0.42469,                0.20934,                 0.7828,               0.006931,               0.006931,               0.006931
                     34,                  0.496,                0.27604,                0.80196,                 0.9999,                 0.9995,                  0.995,                0.92106,                 0.4294,                0.20816,                0.78226,               0.006832,               0.006832,               0.006832
                     35,                0.49606,                0.27254,                0.80238,                0.99947,                 0.9995,                  0.995,                0.92133,                0.42614,                0.20204,                0.78295,               0.006733,               0.006733,               0.006733
                     36,                0.49406,                 0.2737,                0.80205,                0.99909,                 0.9995,                  0.995,                0.92162,                0.42969,                0.20617,                0.78316,               0.006634,               0.006634,               0.006634
                     37,                0.49262,                0.26987,                 0.8028,                0.99945,                 0.9995,                  0.995,                0.92132,                0.42726,                0.20713,                0.78283,               0.006535,               0.006535,               0.006535
                     38,                0.49065,                0.27015,                0.80263,                0.99983,                 0.9995,                  0.995,                 0.9235,                0.42543,                0.20549,                0.78211,               0.006436,               0.006436,               0.006436
                     39,                0.49191,                0.27225,                0.79889,                 0.9995,                0.99998,                  0.995,                0.92184,                0.42721,                0.20676,                0.78246,               0.006337,               0.006337,               0.006337
                     40,                  0.488,                0.26871,                0.80121,                 0.9995,                      1,                  0.995,                0.92157,                0.42074,                0.20444,                0.78161,               0.006238,               0.006238,               0.006238
                     41,                0.48815,                0.26868,                0.80273,                      1,                0.99998,                  0.995,                0.92164,                0.42399,                0.20197,                0.78205,               0.006139,               0.006139,               0.006139
                     42,                0.48886,                 0.2661,                0.80252,                0.99973,                  0.999,                  0.995,                0.92144,                0.42483,                0.20078,                0.78236,                0.00604,                0.00604,                0.00604
                     43,                0.48174,                0.26468,                0.80011,                0.99973,                  0.999,                  0.995,                  0.924,                 0.4229,                0.20059,                0.78147,               0.005941,               0.005941,               0.005941
                     44,                0.48363,                0.26283,                0.80168,                0.99953,                  0.999,                  0.995,                0.92515,                0.41949,                0.19955,                0.78265,               0.005842,               0.005842,               0.005842
                     45,                0.48304,                 0.2635,                0.80009,                      1,                0.99992,                  0.995,                0.92555,                0.41735,                0.19964,                0.78065,               0.005743,               0.005743,               0.005743
                     46,                 0.4822,                0.26213,                0.80045,                      1,                0.99993,                  0.995,                0.92528,                0.41424,                 0.1949,                 0.7809,               0.005644,               0.005644,               0.005644
                     47,                 0.4764,                0.25841,                0.80039,                      1,                0.99999,                  0.995,                0.92541,                0.41453,                0.19467,                0.78063,               0.005545,               0.005545,               0.005545
                     48,                0.47899,                0.25826,                0.79974,                0.99999,                      1,                  0.995,                0.92479,                0.41523,                0.19341,                0.78087,               0.005446,               0.005446,               0.005446
                     49,                0.48049,                0.25876,                0.80032,                0.99996,                      1,                  0.995,                0.92584,                0.41505,                0.19476,                0.78079,               0.005347,               0.005347,               0.005347
                     50,                0.47379,                0.25735,                0.80042,                0.99997,                      1,                  0.995,                0.92532,                0.41693,                 0.1936,                0.78072,               0.005248,               0.005248,               0.005248
                     51,                0.47111,                0.25473,                0.79836,                0.99999,                      1,                  0.995,                0.92468,                0.41158,                0.18812,                0.78041,               0.005149,               0.005149,               0.005149
                     52,                0.47587,                0.25532,                0.79973,                0.99947,                      1,                  0.995,                0.92569,                0.41263,                0.18999,                0.78001,                0.00505,                0.00505,                0.00505
                     53,                0.47167,                0.25294,                0.80039,                0.99933,                 0.9995,                  0.995,                0.92603,                0.40812,                0.18901,                0.77973,               0.004951,               0.004951,               0.004951
                     54,                0.46566,                0.24943,                0.79743,                0.99996,                      1,                  0.995,                 0.9264,                0.40907,                0.18954,                0.77948,               0.004852,               0.004852,               0.004852
                     55,                0.46707,                0.24994,                0.79815,                      1,                0.99995,                  0.995,                0.92685,                0.41062,                 0.1874,                0.77953,               0.004753,               0.004753,               0.004753
                     56,                0.46414,                0.25037,                0.79709,                      1,                0.99998,                  0.995,                0.92625,                0.40845,                 0.1874,                0.77936,               0.004654,               0.004654,               0.004654
                     57,                0.46372,                0.24792,                0.79707,                      1,                      1,                  0.995,                0.92714,                0.40821,                0.18456,                0.77957,               0.004555,               0.004555,               0.004555
                     58,                0.46515,                0.24865,                0.79652,                0.99993,                      1,                  0.995,                0.92766,                0.40724,                0.18479,                0.77925,               0.004456,               0.004456,               0.004456
                     59,                 0.4631,                0.24751,                0.79747,                0.99991,                      1,                  0.995,                0.92888,                0.40727,                0.18497,                0.77982,               0.004357,               0.004357,               0.004357
                     60,                0.46023,                0.24445,                0.79813,                0.99997,                      1,                  0.995,                0.92831,                0.40618,                  0.183,                0.77921,               0.004258,               0.004258,               0.004258
                     61,                0.45989,                0.24364,                 0.7966,                0.99996,                      1,                  0.995,                 0.9264,                0.40686,                0.18343,                0.77959,               0.004159,               0.004159,               0.004159
                     62,                0.45812,                0.24353,                0.79508,                0.99996,                      1,                  0.995,                0.92894,                0.40817,                0.18204,                0.77968,                0.00406,                0.00406,                0.00406
                     63,                0.46118,                0.24344,                0.79559,                0.99997,                      1,                  0.995,                0.92931,                0.40709,                0.18184,                0.77935,               0.003961,               0.003961,               0.003961
                     64,                0.45172,                0.24105,                0.79752,                0.99997,                      1,                  0.995,                0.92836,                0.40384,                0.18172,                0.77861,               0.003862,               0.003862,               0.003862
                     65,                0.45356,                0.23883,                0.79745,                0.99998,                      1,                  0.995,                0.92825,                0.40525,                0.18148,                0.77859,               0.003763,               0.003763,               0.003763
                     66,                0.45129,                0.23884,                0.79711,                0.99996,                      1,                  0.995,                0.92778,                0.40519,                  0.181,                0.77846,               0.003664,               0.003664,               0.003664
                     67,                0.44961,                0.23583,                0.79661,                      1,                0.99999,                  0.995,                0.92914,                0.40405,                 0.1801,                0.77837,               0.003565,               0.003565,               0.003565
                     68,                 0.4514,                0.23742,                0.79564,                0.99998,                      1,                  0.995,                0.92848,                0.40582,                0.18017,                0.77863,               0.003466,               0.003466,               0.003466
                     69,                0.44766,                0.23467,                0.79569,                0.99996,                      1,                  0.995,                0.92679,                0.40705,                0.17994,                 0.7791,               0.003367,               0.003367,               0.003367
                     70,                0.44876,                0.23441,                0.79799,                0.99995,                      1,                  0.995,                 0.9296,                 0.4029,                0.17939,                0.77841,               0.003268,               0.003268,               0.003268
                     71,                0.44331,                0.23271,                0.79595,                0.99995,                      1,                  0.995,                0.92953,                0.40306,                0.17811,                0.77852,               0.003169,               0.003169,               0.003169
                     72,                0.44354,                0.23265,                0.79572,                0.99995,                      1,                  0.995,                0.92983,                0.40273,                0.17984,                0.77832,                0.00307,                0.00307,                0.00307
                     73,                0.44288,                0.23139,                0.79505,                0.99997,                      1,                  0.995,                0.92967,                0.40115,                0.17844,                0.77797,               0.002971,               0.002971,               0.002971
                     74,                0.44093,                 0.2317,                0.79488,                0.99998,                      1,                  0.995,                0.92961,                0.40129,                0.17831,                0.77799,               0.002872,               0.002872,               0.002872
                     75,                 0.4438,                0.23121,                0.79353,                0.99998,                      1,                  0.995,                0.93153,                0.40151,                0.17812,                0.77813,               0.002773,               0.002773,               0.002773
                     76,                0.44017,                0.22953,                 0.7935,                0.99996,                      1,                  0.995,                0.93112,                0.40068,                0.17682,                0.77786,               0.002674,               0.002674,               0.002674
                     77,                0.44024,                0.22778,                0.79422,                0.99997,                      1,                  0.995,                0.92912,                0.40173,                0.17665,                0.77793,               0.002575,               0.002575,               0.002575
                     78,                0.43654,                0.22595,                0.79439,                      1,                0.99998,                  0.995,                0.93155,                0.40077,                0.17608,                0.77785,               0.002476,               0.002476,               0.002476
                     79,                0.43294,                0.22478,                0.79577,                0.99996,                 0.9995,                  0.995,                0.92952,                0.40242,                0.17597,                0.77776,               0.002377,               0.002377,               0.002377
                     80,                0.43137,                0.22284,                 0.7931,                      1,                0.99996,                  0.995,                0.92976,                 0.4022,                0.17554,                0.77775,               0.002278,               0.002278,               0.002278
                     81,                0.43395,                 0.2227,                0.79469,                      1,                0.99996,                  0.995,                0.93048,                0.40229,                0.17527,                0.77777,               0.002179,               0.002179,               0.002179
                     82,                 0.4285,                0.22113,                0.79614,                0.99994,                      1,                  0.995,                0.93084,                0.40089,                0.17482,                0.77799,                0.00208,                0.00208,                0.00208
                     83,                0.42948,                0.22096,                0.79404,                0.99994,                      1,                  0.995,                0.93095,                0.40069,                0.17448,                0.77777,               0.001981,               0.001981,               0.001981
                     84,                0.42714,                0.21992,                0.79411,                0.99991,                      1,                  0.995,                0.93072,                0.40027,                0.17491,                0.77767,               0.001882,               0.001882,               0.001882
                     85,                0.42655,                 0.2169,                0.79367,                      1,                0.99998,                  0.995,                 0.9305,                0.39995,                0.17376,                0.77748,               0.001783,               0.001783,               0.001783
                     86,                0.42445,                0.21689,                0.79099,                      1,                0.99986,                  0.995,                0.93116,                0.39932,                0.17292,                 0.7774,               0.001684,               0.001684,               0.001684
                     87,                0.42397,                0.21658,                0.79171,                0.99999,                 0.9995,                  0.995,                0.93138,                0.39938,                0.17302,                0.77738,               0.001585,               0.001585,               0.001585
                     88,                 0.4238,                0.21531,                0.79336,                      1,                0.99948,                  0.995,                0.93146,                0.39975,                0.17317,                 0.7773,               0.001486,               0.001486,               0.001486
                     89,                0.42241,                 0.2136,                 0.7947,                      1,                0.99948,                  0.995,                0.93079,                0.40046,                0.17323,                0.77732,               0.001387,               0.001387,               0.001387
                     90,                0.41795,                0.21181,                0.79267,                0.99998,                 0.9995,                  0.995,                0.93147,                0.40049,                0.17276,                0.77726,               0.001288,               0.001288,               0.001288
                     91,                 0.4079,                0.20379,                0.78493,                0.99997,                 0.9995,                  0.995,                0.93184,                0.40078,                0.17364,                0.77729,               0.001189,               0.001189,               0.001189
                     92,                0.40215,                0.20277,                0.78428,                0.99997,                 0.9995,                  0.995,                0.93129,                0.40077,                0.17382,                0.77732,                0.00109,                0.00109,                0.00109
                     93,                0.40045,                0.20043,                0.78607,                0.99997,                 0.9995,                  0.995,                0.93226,                0.40071,                0.17359,                0.77733,               0.000991,               0.000991,               0.000991
                     94,                0.40126,                0.19888,                0.78761,                0.99997,                 0.9995,                  0.995,                0.93149,                0.40031,                0.17386,                0.77722,               0.000892,               0.000892,               0.000892
                     95,                0.39791,                0.19515,                0.78394,                0.99997,                 0.9995,                  0.995,                 0.9318,                0.40024,                0.17312,                 0.7772,               0.000793,               0.000793,               0.000793
                     96,                0.39405,                0.19274,                0.78492,                0.99996,                 0.9995,                  0.995,                0.93225,                0.40033,                 0.1729,                0.77719,               0.000694,               0.000694,               0.000694
                     97,                0.39411,                0.19178,                0.78439,                0.99996,                 0.9995,                  0.995,                 0.9317,                0.40056,                0.17298,                0.77713,               0.000595,               0.000595,               0.000595
                     98,                0.39205,                0.19069,                 0.7845,                      1,                0.99996,                  0.995,                0.93126,                0.40087,                0.17307,                0.77715,               0.000496,               0.000496,               0.000496
                     99,                0.39018,                0.18858,                0.78375,                      1,                0.99996,                  0.995,                 0.9311,                0.40131,                0.17306,                 0.7772,               0.000397,               0.000397,               0.000397
                    100,                 0.3877,                0.18804,                 0.7816,                      1,                0.99997,                  0.995,                0.93087,                0.40147,                0.17278,                0.77722,               0.000298,               0.000298,               0.000298
